taluk,district
Asifabad,Adilabad
Boath,Adilabad
Adilabad,Adilabad
Bellampalle,Adilabad
Luxettipet,Adilabad
Chennur,Adilabad
Nirmal,Adilabad
Khanapur,Adilabad
Sirpur (t),Adilabad
Kagaznagar,Adilabad
Utnoor,Adilabad
Mudhole,Adilabad
Sirpur(t),Adilabad
Neradigonda,Adilabad
Kubeer,Adilabad
Chennoor,Adilabad
Kaddam (Peddur),Adilabad
Mancherial,Adilabad
Tamsi,Adilabad
Sirpur,Adilabad
Mandamarri,Adilabad
Jainad,Adilabad
Bhainsa,Adilabad
Lokeswaram,Adilabad
Bazarhathnoor,Adilabad
Bejjur,Adilabad
Kerameri,Adilabad
Narnoor,Adilabad
Tiryani,Adilabad
Bela,Adilabad
Jainoor,Adilabad
Jangaon,Warangal
Mulug,Warangal
Narmitta,Warangal
Bhupalapalli,Warangal
Cherial,Warangal
Mogullapalli,Warangal
Mangapet,Warangal
Atmakur,Warangal
Narmetta,Warangal
Buchannapet,Warangal
Hasanparthy,Warangal
Devaruppula,Warangal
Maddur,Warangal
Raghunathapalli,Warangal
Raghunathpalli,Warangal
Hanamkonda,Warangal
Tadvai,Warangal
Regonda,Warangal
Palakurthy,Warangal
Bachannapet,Warangal
Ghanpur (mulug),Warangal
Govindaraopet,Warangal
Eturunagaram,Warangal
Ghanpur Station,Warangal
Chityal,Warangal
Lingalaghanpur,Warangal
Ghanpur (Mulug),Warangal
Parkal,Warangal
China Raman Cherla,Warangal
Ghanpur Stn,Warangal
Chiryal,Warangal
Dharmasagar,Warangal
Devaruppala,Warangal
Ghanpur(m),Warangal
Shayampet,Warangal
Zafargadh,Warangal
Warangal,Warangal
Lingal Ghanpur,Warangal
Venkatapur,Warangal
Eturnagaram,Warangal
Ghanpur (Station),Warangal
Lingala Ghanpur,Warangal
Chelpur,Warangal
Zafargaddah,Warangal
Kodakandla,Warangal
Ghanpur(mulug),Warangal
Duggondi,Warangal
Mogullapally,Warangal
So,Warangal
Nallabelli,Warangal
Bhupalpalle,Warangal
Raghunathplli,Warangal
Devaruppal,Warangal
Raghunathpalle,Warangal
Mogullapalle,Warangal
Nallbelli,Warangal
Zafargadah,Warangal
Zaffargaddh,Warangal
Hasanaparthy,Warangal
Gangadhara,Karim Nagar
Yellareddipet,Karim Nagar
Gollapalli,Karim Nagar
Koratla,Karim Nagar
Pegadapalli,Karim Nagar
Husnabad,Karim Nagar
Thimmapur,Karim Nagar
Raikal,Karim Nagar
Kathalapur,Karim Nagar
Ibrahimpatnam,Karim Nagar
Ellanthakunta,Karim Nagar
Boenpalli,Karim Nagar
Manakondur,Karim Nagar
Vemulawada,Karim Nagar
Jagtial,Karim Nagar
Choppadandi,Karim Nagar
Sarangapur,Karim Nagar
Karimnagar,Karim Nagar
Metpalli,Karim Nagar
Sirsilla,Karim Nagar
Mallial,Karim Nagar
Kishandaspet,Karim Nagar
Mustabad,Karim Nagar
Chandurthi,Karim Nagar
Koheda,Karim Nagar
Konaraopet,Karim Nagar
Bejjanki,Karim Nagar
Medpalli,Karim Nagar
Dharmapuri,Karim Nagar
Kodimial,Karim Nagar
Chigurumamidi,Karim Nagar
Mallapur,Karim Nagar
Gambhiraopet,Karim Nagar
Ramadugu,Karim Nagar
Velgatur,Karim Nagar
Sircilla,Karim Nagar
Medapalli,Karim Nagar
Yellareddypet,Karim Nagar
Nizamabad Division,Karim Nagar
Chendurthy,Karim Nagar
Metpalle,Karim Nagar
Boenpali,Karim Nagar
Koratal,Karim Nagar
Jullapalli,Karim Nagar
Ellanthkunta,Karim Nagar
Hunsabad,Karim Nagar
Chendurthi,Karim Nagar
Dharmaram,Karim Nagar
Gadwal,Mahabub Nagar
Mahbubnagar,Mahabub Nagar
Kodangal,Mahabub Nagar
Devarkadra,Mahabub Nagar
Mahabubnagar H.o,Mahabub Nagar
Narayanpet,Mahabub Nagar
Dharur,NULL
Mahabub Nagar,Mahabub Nagar
Dubbak,Medak
Siddipet,Medak
Gujvail,Medak
Medak,Medak
Papannapet,Medak
Nalgodna,Nalgonda
Nalgonda,Nalgonda
Alair,Nalgonda
Chandur,Nalgonda
Bibinagar,Nalgonda
Bhongir,Nalgonda
Bhongiri,Nalgonda
Munugode,Nalgonda
Cc,Nalgonda
Nalgolnda,Nalgonda
Pedda Adiserla Palle,Nalgonda
Vv,Nalgonda
Yadagarigutta,Nalgonda
Devarakonda,Nalgonda
Narayanapur,Nalgonda
Nalognda,Nalgonda
Anumula,Nalgonda
Choutuppal,Nalgonda
Marriguda,Nalgonda
Mothkur,Nalgonda
Bb,Nalgonda
Nalgoda,Nalgonda
Cxc,Nalgonda
Peddavoora,Nalgonda
Pochampalle,Nalgonda
Nalgnda,Nalgonda
Ramannapeta So,Nalgonda
Valigonda,Nalgonda
Yadagirigutta,Nalgonda
Nizamabad,Nizamabad
Kamareddy,Nizamabad
Yellareddy,Nizamabad
Armoor,Nizamabad
Banswada,Nizamabad
Bhiknoor,Nizamabad
Bheemgal,Nizamabad
Bodhan,Nizamabad
Dichpalle,Nizamabad
Dharpalle,Nizamabad
Madnoor,Nizamabad
Yedpalle,Nizamabad
Machareddy,Nizamabad
Varni,Nizamabad
Lingampet,Nizamabad
Bichkunda,Nizamabad
Armur,Nizamabad
Ramagundam,Karim Nagar
Peddapalli,Karim Nagar
Huzurabad,Karim Nagar
Saidapur,Karim Nagar
Kamanpur,Karim Nagar
Peddapalle,Karim Nagar
Veenavanka,Karim Nagar
Bheemadevarpalle,Karim Nagar
Manthani,Karim Nagar
Srirampur,Karim Nagar
Sultanabad,Karim Nagar
Jammikunta,Karim Nagar
Shankarapatnam,Karim Nagar
Kataram,Karim Nagar
Julapalle,Karim Nagar
Ramachandrapuram,Medak
Narayankhed,Medak
R.c.puram,Medak
Narsapur,Medak
Jogipet,Medak
Zaheerabad,Medak
Alladurg,Medak
Sadasivpet,Medak
Sangareddy,Medak
Andole,Medak
Zahirabad,Medak
Patancheru,Medak
Shankarampet (A),Medak
Miryalguda,Nalgonda
Nakrekal,Nalgonda
Thungathurthy,Nalgonda
Huzurnagar,Nalgonda
Miryalgudda,Nalgonda
Suryapet,Nalgonda
Thungathurthi,Nalgonda
Kodad,Nalgonda
Miryalaguda,Nalgonda
Suryap[et,Nalgonda
Tirumalgiri,Nalgonda
Suryapet Ho,Nalgonda
Achampet,Mahabub Nagar
Kondurgu,Mahabub Nagar
Tadoor,Mahabub Nagar
Veldanda,Mahabub Nagar
Kothakota,Mahabub Nagar
Amangal,Mahabub Nagar
Thelkapally,Mahabub Nagar
Cckunta,Mahabub Nagar
Keshampet,Mahabub Nagar
Lingala,Mahabub Nagar
Maheswaram,K.V.Rangareddy
Veepangandla,Mahabub Nagar
Amrabad,Mahabub Nagar
Balmoor,Mahabub Nagar
Madgul,Mahabub Nagar
Farooqnagar,Mahabub Nagar
Thimmajipet,Mahabub Nagar
Pebbair,Mahabub Nagar
Balanagar,Mahabub Nagar
Bijnapally,Mahabub Nagar
Pangal,Mahabub Nagar
Gopalpet,Mahabub Nagar
Wanaparthy,Mahabub Nagar
Peddakothapally,Mahabub Nagar
Nagarkurnool,Mahabub Nagar
Vangoor,Mahabub Nagar
Talakondapally,Mahabub Nagar
Kothur,Mahabub Nagar
Amnagal,Mahabub Nagar
Farooqnqgar,Mahabub Nagar
Kollapur,Mahabub Nagar
Lingal,Mahabub Nagar
Jadcherla,Mahabub Nagar
Wanapathy,Mahabub Nagar
Kalwakurthy,Mahabub Nagar
Thadoor,Mahabub Nagar
Shahabad,K.V.Rangareddy
Midjil,Mahabub Nagar
Kodair,Mahabub Nagar
Uppanunthala,Mahabub Nagar
Uppununthala,Mahabub Nagar
Peddamandadi,Mahabub Nagar
Uppunuthala,Mahabub Nagar
Bhootpur,Mahabub Nagar
Kandukur,K.V.Rangareddy
Kalwakurhy,Mahabub Nagar
Shamshabad,Mahabub Nagar
Pedda Mandadi,Mahabub Nagar
Palem,Mahabub Nagar
Shadnagar,Mahabub Nagar
Stn. Jadcherla,Mahabub Nagar
Boothpur,Mahabub Nagar
Wardhannapet,Warangal
Maripeda,Warangal
Narasimulapet,Warangal
Mahabubabad,Warangal
Kesamudram,Warangal
Mah'bad,Warangal
Nekkonda,Warangal
Dornakal,Warangal
Turrur,Warangal
Parvathagiri,Warangal
Sangam,Warangal
Narsampet,Warangal
Gudur,Warangal
Kuravi,Warangal
Narsimulapet,Warangal
Kothaguda,Warangal
Kodakandal,Warangal
Parwathagiri,Warangal
Neerada,Warangal
Chennaraopet,Warangal
Sangem,Warangal
Hanamkonda Mandal,Warangal
Zaffargadh,Warangal
Narsimhulapet,Warangal
Geesugonda,Warangal
Samgem,Warangal
Geegugonda,Warangal
Geesungonda Mandal,Warangal
Turrrur,Warangal
Kadakandla,Warangal
Raiparthy,Warangal
Kodakondla,Warangal
Atmakur Mandall,Warangal
Nallikaddur,Warangal
Chennraopet,Warangal
Geesugonda Mandal,Warangal
Nallikaddr,Warangal
Redlawada,Warangal
Ggesugonda,Warangal
Hasnparthy,Warangal
Raiparhty,Warangal
Zaffargadgh,Warangal
Khairatabad,Hyderabad
Rajendra Nagar,Hyderabad
Rajendranagar,K.V.Rangareddy
Moinabad,K.V.Rangareddy
Serilingampally,Hyderabad
Shaikpet,Hyderabad
Golconda,Hyderabad
Ameerpet,Hyderabad
Seri Lingampally,K.V.Rangareddy
Himayathnagar,Hyderabad
Nampally,Hyderabad
Asifnagar,Hyderabad
Shankarpally,K.V.Rangareddy
Hyderabad,Hyderabad
Rangareddy,K.V.Rangareddy
Musheerabad,Hyderabad
Amberpet,Hyderabad
Saroornagar,K.V.Rangareddy
Ghatkesar,Hyderabad
Bandlaguda,Hyderabad
Charminar,Hyderabad
saroornagar,K.V.Rangareddy
Hayathnagar,Hyderabad
Uppal,Hyderabad
Bahadurpura,Hyderabad
